page_id,lec_id
mir-2139-221,lecture-3
mir-2139-222,lecture-3
mir-2140-222,lecture-3
mir-2140-223,lecture-3
mir-2141-223,lecture-3
mir-2141-224,lecture-3
mir-2142-224,lecture-3
mir-2142-225,lecture-3
mir-2143-225,lecture-3
mir-2143-226,lecture-3
mir-2144-226,lecture-3
mir-2144-227,lecture-3
mir-2145-227,lecture-3
mir-2146-227,lecture-3
mir-2146-228,lecture-3
mir-2147-228,lecture-3
mir-2147-229,lecture-3
mir-2147-230,lecture-3
mir-2147-231,lecture-3
mir-2148-231,lecture-3
mir-2148-232,lecture-3
mir-2149-232,lecture-3
mir-2149-233,lecture-3
mir-2149-234,lecture-3
mir-2150-234,lecture-3
mir-2151-234,lecture-3
mir-2151-235,lecture-3
mir-2152-235,lecture-3
mir-2152-236,lecture-3
mir-2153-236,lecture-3
mir-2153-237,lecture-3
mir-2153-238,lecture-3
mir-2154-238,lecture-3
mir-2154-239,lecture-3
mir-2155-239,lecture-3
mir-2155-240,lecture-3
iir-2156-10,lecture-4
iir-2157-10,lecture-4
iir-2157-11,lecture-4
iir-2157-12,lecture-4
iir-2157-13,lecture-4
iir-2157-14,lecture-4
iir-2158-14,lecture-4
iir-2158-15,lecture-4
iir-2158-16,lecture-4
iir-2158-17,lecture-4
iir-2159-146,lecture-4
iir-2159-147,lecture-4
iir-2160-147,lecture-4
iir-2160-148,lecture-4
iir-2160-149,lecture-4
iir-2161-149,lecture-4
iir-2161-150,lecture-4
iir-2162-150,lecture-4
iir-2162-151,lecture-4
iir-2162-152,lecture-4
iir-2163-152,lecture-4
iir-2163-153,lecture-4
iir-2163-154,lecture-4
iir-2164-154,lecture-4
iir-2165-154,lecture-4
iir-2165-155,lecture-4
iir-2166-155,lecture-4
iir-2166-156,lecture-4
iir-2166-157,lecture-4
iir-2167-157,lecture-4
iir-2168-157,lecture-4
iir-2168-158,lecture-4
iir-2168-159,lecture-4
iir-2168-160,lecture-4
iir-2169-160,lecture-4
iir-2169-161,lecture-4
iir-2170-161,lecture-4
iir-2170-162,lecture-4
iir-2170-163,lecture-4
iir-2171-163,lecture-4
iir-2172-163,lecture-4
iir-2172-164,lecture-4
iir-2173-164,lecture-4
iir-2173-165,lecture-4
iir-2174-165,lecture-4
iir-2174-166,lecture-4
iir-2175-166,lecture-4
iir-2175-167,lecture-4
iir-2175-168,lecture-4
iir-2175-169,lecture-4
iir-2175-170,lecture-4
iir-2176-170,lecture-4
iir-2177-274,lecture-5
iir-2178-274,lecture-5
iir-2179-274,lecture-5
iir-2179-275,lecture-5
iir-2179-276,lecture-5
iir-2179-277,lecture-5
iir-2180-277,lecture-5
iir-2180-278,lecture-5
iir-2181-278,lecture-5
iir-2181-279,lecture-5
iir-2182-279,lecture-5
iir-2183-279,lecture-5
iir-2183-280,lecture-5
iir-2184-280,lecture-5
iir-2184-281,lecture-5
iir-2184-282,lecture-5
iir-2184-283,lecture-5
iir-2185-283,lecture-5
iir-2185-284,lecture-5
iir-2185-285,lecture-5
iir-2186-285,lecture-5
iir-2186-286,lecture-5
iir-2186-287,lecture-5
iir-2187-287,lecture-5
iir-2187-288,lecture-5
iir-2187-289,lecture-5
iir-2188-289,lecture-5
iir-2189-188,lecture-6
iir-2189-189,lecture-6
iir-2190-189,lecture-6
iir-2190-190,lecture-6
iir-2191-190,lecture-6
iir-2191-191,lecture-6
iir-2192-191,lecture-6
iir-2192-192,lecture-6
iir-2192-193,lecture-6
iir-2192-194,lecture-6
iir-2192-195,lecture-6
iir-2193-195,lecture-6
iir-2193-196,lecture-6
iir-2193-197,lecture-6
iir-2193-198,lecture-6
iir-2193-199,lecture-6
iir-2193-200,lecture-6
iir-2193-201,lecture-6
iir-2194-201,lecture-6
iir-2194-202,lecture-6
iir-2194-203,lecture-6
iir-2195-203,lecture-6
iir-2195-204,lecture-6
iir-2195-205,lecture-6
iir-2196-205,lecture-6
iir-2197-205,lecture-6
iir-2197-206,lecture-6
iir-2198-206,lecture-6
iir-2198-207,lecture-6
iir-2199-207,lecture-6
iir-2200-207,lecture-6
iir-2200-208,lecture-6
iir-2200-209,lecture-6
iir-2200-210,lecture-6
iir-2201-210,lecture-6
iir-2201-211,lecture-6
iir-2201-212,lecture-6
iir-2202-214,lecture-6
iir-2202-215,lecture-6
iir-2203-215,lecture-6
iir-2204-215,lecture-6
iir-2204-216,lecture-6
iir-2204-217,lecture-6
iir-2204-218,lecture-6
iir-2204-219,lecture-6
iir-2204-220,lecture-6
iir-2205-220,lecture-6
iir-2206-220,lecture-6
iir-2206-221,lecture-6
iir-2206-222,lecture-6
iir-2207-222,lecture-6
iir-2207-223,lecture-6
iir-2208-223,lecture-6
iir-2208-224,lecture-6
iir-2209-224,lecture-6
iir-2210-224,lecture-6
iir-2210-225,lecture-6
iir-2211-225,lecture-6
iir-2211-226,lecture-6
iir-2212-226,lecture-6
iir-2213-226,lecture-6
iir-2214-226,lecture-6
iir-2214-227,lecture-6
iir-2214-228,lecture-6
iir-2214-229,lecture-6
iir-2215-229,lecture-6
iir-2215-230,lecture-6
iir-2216-230,lecture-6
iir-2216-231,lecture-6
mir-2217-269,lecture-7
mir-2218-269,lecture-7
mir-2218-270,lecture-7
mir-2219-270,lecture-7
mir-2219-271,lecture-7
mir-2220-271,lecture-7
mir-2221-271,lecture-7
mir-2221-272,lecture-7
mir-2221-273,lecture-7
mir-2222-273,lecture-7
mir-2222-274,lecture-7
mir-2223-274,lecture-7
mir-2224-274,lecture-7
mir-2224-275,lecture-7
mir-2224-276,lecture-7
mir-2224-277,lecture-7
mir-2225-277,lecture-7
mir-2225-278,lecture-7
mir-2226-278,lecture-7
mir-2226-279,lecture-7
mir-2227-279,lecture-7
mir-2228-279,lecture-7
mir-2228-280,lecture-7
mir-2229-280,lecture-7
mir-2229-281,lecture-7
mir-2229-282,lecture-7
mir-2229-283,lecture-7
mir-2229-284,lecture-7
mir-2229-285,lecture-7
mir-2229-286,lecture-7
mir-2229-287,lecture-7
mir-2229-288,lecture-7
mir-2230-288,lecture-7
mir-2230-289,lecture-7
mir-2230-290,lecture-7
mir-2231-290,lecture-7
mir-2232-290,lecture-7
mir-2232-291,lecture-7
mir-2233-291,lecture-7
mir-2233-292,lecture-7
mir-2234-292,lecture-7
mir-2234-293,lecture-7
mir-2235-293,lecture-7
mir-2235-294,lecture-7
mir-2236-294,lecture-7
mir-2236-295,lecture-7
mir-2236-296,lecture-7
mir-2236-297,lecture-7
mir-2236-298,lecture-7
mir-2237-298,lecture-7
mir-2237-299,lecture-7
mir-2238-299,lecture-7
mir-2238-300,lecture-7
mir-2238-301,lecture-7
mir-2239-301,lecture-7
mir-2240-301,lecture-7
mir-2241-301,lecture-7
mir-2241-302,lecture-7
mir-2241-303,lecture-7
mir-2241-304,lecture-7
mir-2241-305,lecture-7
mir-2242-305,lecture-7
mir-2242-306,lecture-7
mir-2242-307,lecture-7
mir-2242-308,lecture-7
mir-2243-308,lecture-7
mir-2243-309,lecture-7
mir-2244-309,lecture-7
mir-2244-310,lecture-7
mir-2244-311,lecture-7
mir-2245-311,lecture-7
mir-2245-312,lecture-7
mir-2245-313,lecture-7
mir-2246-313,lecture-7
mir-2246-314,lecture-7
mir-2246-315,lecture-7
mir-2247-315,lecture-7
mir-2247-316,lecture-7
mir-2248-316,lecture-7
mir-2248-317,lecture-7
mir-2249-317,lecture-7
mir-2249-318,lecture-7
mir-2249-319,lecture-7
mir-2250-319,lecture-7
mir-2250-320,lecture-7
mir-2251-320,lecture-7
mir-2252-320,lecture-7
mir-2252-321,lecture-7
mir-2253-321,lecture-7
mir-2254-321,lecture-7
mir-2254-322,lecture-7
mir-2254-323,lecture-7
mir-2255-323,lecture-7
mir-2255-324,lecture-7
mir-2256-324,lecture-7
mir-2256-325,lecture-7
mir-2256-326,lecture-7
mir-2256-327,lecture-7
mir-2256-328,lecture-7
mir-2256-329,lecture-7
mir-2257-329,lecture-7
mir-2258-329,lecture-7
mir-2258-330,lecture-7
mir-2259-330,lecture-7
mir-2259-331,lecture-7
mir-2259-332,lecture-7
mir-2259-333,lecture-7
mir-2260-333,lecture-7
mir-2260-334,lecture-7
mir-2261-334,lecture-7
